Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
61768,18000000,"swedish,greek",Bhopal,Near Party Hub,17-09-2011,69,Not Specific,76,1,1,1,0,1,2,Bar,Nature,0,0,6,3,4,6,5,10,NA,NA,NA,4,10,5,1,2,5
61769,31500000,"tibetan,greek",Bangalore,Near Party Hub,05-04-2008,85.92,Not Specific,79.87,1,1,1,1,1,2,Bar,Arabian,3,1,7,4,5,4,5,9,6,NA,NA,NA,7,6,4,4,8
61770,32500000,"tibetan,italian",Bangalore,Near Party Hub,12-08-2013,89.6,Not Specific,95.8,1,1,1,1,1,2,Bar,Arabian,3,1,1,5,5,6,5,6,4,NA,2,NA,6,3,1,4,1
61771,30000000,"british,belgian",Pune,Near Business Hub,13-10-2010,76,Tier A Celebrity,77,1,1,1,1,0,2,Bar,90's,3,0,4,5,5,6,8,9,5,NA,NA,NA,7,7,4,3,4
61772,24000000,"welsh,thai",-1,Near Party Hub,29-04-2008,74.33,Not Specific,77,1,1,1,1,1,2,Bar,90's,3,0,3,4,4,5,9,9,5,NA,NA,NA,6,3,5,1,8
61773,24000000,"turkish,nigerian",Noida,Near Party Hub,05-07-2006,54,Not Specific,70,1,1,1,0,0,2,Bar,Arabian,2,0,3,3,4,4,8,8,4,NA,NA,NA,7,9,6,4,7
61774,15000000,"welsh,thai",Chennai,Near Business Hub,20-04-2011,84,Not Specific,77,1,1,1,1,0,2,Bar,Arabian,3,1,4,6,4,3,5,8,3,NA,NA,NA,7,5,5,3,7
61775,22000000,"indian,irish",Kolkata,Near Party Hub,21-09-2010,83,Not Specific,72,1,1,1,1,1,2,Bar,Greek,3,1,4,3,5,6,6,6,NA,2,NA,NA,8,7,6,5,6
61776,12000000,"peruvian,cuban",Hyderabad,Near Party Hub,24-06-2010,87.2,Not Specific,85.9,1,1,1,1,1,2,Bar,Greek,2,0,10,5,5,4,7,NA,4,NA,4,NA,7,6,5,5,6
61777,12000000,"tibetan,greek",New Delhi,Near Party Hub,22-04-2012,82.28,Tier A Celebrity,87.2,1,1,1,1,1,2,Bar,Arabian,3,0,5,5,5,4,8,NA,6,NA,5,NA,7,8,7,0,7
61778,65000000,"japanese,thai",Hyderabad,Near Party Hub,15-01-2008,88,Tier A Celebrity,81.4,0,1,1,0,0,2,Bar,Arabian,3,0,7,7,6,6,10,9,7,NA,NA,NA,8,9,5,2,8
61779,37500000,"chinese,salvadorian",Noida,Near Party Hub,26-04-2007,90.2,Tier A Celebrity,82.4,1,1,1,0,1,1,Bar,Mise En,3,0,8,6,6,6,5,NA,4,NA,NA,NA,6,7,5,4,7
61780,30500000,"welsh,thai",Bangalore,Near Party Hub,25-08-2010,60,Tier A Celebrity,66,1,1,1,1,1,2,Bar,Arabian,2,0,7,5,4,3,9,7,3,NA,3,NA,8,7,5,2,6
61781,15500000,"tibetan,italian",Noida,Near Party Hub,16-12-2009,75,Tier A Celebrity,58,1,1,1,1,1,2,Bar,Arabian,2,0,9,4,4,2,5,7,3,NA,NA,NA,9,8,5,4,7
61782,36000000,"polish,jewish",-1,Near Business Hub,20-09-2010,77.8,Tier A Celebrity,79.4,1,1,1,0,1,2,Bar,Arabian,4,0,8,5,6,8,7,10,4,NA,NA,NA,7,9,5,2,7
61783,40000000,"hawaiian,latvian",Pune,Near Party Hub,25-09-2010,93,Tier A Celebrity,85.6,1,1,1,1,1,2,Bar,Greek,4,0,10,6,5,6,6,8,4,3,NA,NA,6,10,4,3,10
61784,24000000,"irish,belgian",Mumbai,Near Party Hub,05-03-2009,78,Tier A Celebrity,75,1,1,0,0,1,2,Bar,Nature,3,0,8,6,5,5,7,6,NA,NA,NA,2,10,6,5,0,7
61785,40000000,"polish,jewish",Indore,Near Party Hub,25-08-2011,88.4,Tier A Celebrity,91,1,1,1,1,1,2,Bar,Arabian,3,0,9,5,5,6,10,9,5,NA,NA,NA,7,9,5,2,8
61786,24000000,"algerian,belgian",Mumbai ,Near Party Hub,08-10-2007,71.6,Not Specific,71,1,1,0,0,0,2,Bar,Greek,2,1,1,4,3,5,10,9,4,4,NA,NA,2,4,0,6,7
61787,50500000,"indian,irish",Chennai,Near Party Hub,17-07-2007,75.1,Local Celebrity,81.2,1,1,1,1,1,2,Bar,Greek,3,1,1,5,3,4,10,7,4,3,NA,NA,10,7,4,3,8
61788,10500000,"tibetan,italian",Noida,Near Party Hub,26-06-2007,74.5,Not Specific,72.8,1,1,1,1,1,2,Bar,Greek,3,0,2,3,4,3,7,8,NA,3,NA,NA,7,7,6,4,6
61789,22000000,"british,japanese",Chennai,Near Party Hub,15-05-2009,72,Not Specific,60,1,1,1,1,1,2,Bar,Arabian,2,1,1,3,3,3,5,7,3,NA,NA,NA,4,4,4,6,1
61790,30000000,"japanese,thai",Bangalore,Near Party Hub,23-03-2011,78.4,Tier A Celebrity,71.8,1,1,1,1,0,1,Bar,90's,3,1,2,4,5,5,6,10,4,NA,NA,NA,7,8,0,0,7
61791,30000000,"tibetan,greek",Navi Mumbai,Near Party Hub,23-01-2010,65,Tier A Celebrity,67,1,1,1,1,0,2,Bar,Arabian,3,0,5,5,4,4,10,10,4,NA,NA,NA,5,5,2,1,5
61792,7500000,"chinese,salvadorian",New Delhi,Near Party Hub,06-10-2009,54,Not Specific,63,0,1,1,1,1,2,Bar,Greek,3,0,5,3,4,3,8,10,NA,3,NA,NA,4,7,6,5,6
61793,20000000,"tibetan,italian",Faridabad,Near Party Hub,10-07-2010,84.2,Tier A Celebrity,76.2,0,1,1,0,1,2,Bar,Nature,2,0,3,5,4,5,5,6,NA,NA,NA,2,7,8,8,3,8
61794,35000000,"tibetan,italian",Nasikcity,Near Business Hub,09-02-2010,69.73,Not Specific,75.5,1,1,1,0,1,,Bar,Cafepro,2,0,10,3,4,5,7,10,NA,NA,NA,4,6,7,2,1,7
61795,38000000,"peruvian,cuban",-1,Near Party Hub,27-05-2010,92.12,Tier A Celebrity,81,1,1,0,1,1,1,Bar,Greek,4,0,6,6,6,5,7,9,NA,NA,NA,NA,9,10,6,2,6
61796,41000000,"tibetan,greek",-1,Near Party Hub,26-09-2009,74,Not Specific,76.6,1,1,1,1,1,2,Bar,Nature,3,0,8,4,5,6,6,9,NA,NA,NA,5,5,9,3,4,6
61797,18000000,"algerian,algerian",Noida,Near Party Hub,23-03-2009,65,Tier A Celebrity,56,0,0,0,1,1,2,Caffee,Arabian,2,0,9,4,5,3,9,9,4,NA,4,NA,9,9,6,0,7
61798,30000000,"algerian,belgian",Gandhinagar ,Near Party Hub,27-10-2009,92,Not Specific,77.8,1,1,1,1,1,2,Bar,English,3,1,10,3,5,4,7,9,3,NA,NA,NA,8,6,3,3,7
61799,14500000,"welsh,thai",Kolkata,Near Party Hub,05-03-2009,74,Not Specific,71,1,1,1,1,0,,Bar,90's,4,1,5,5,5,4,10,9,5,NA,NA,NA,4,9,7,2,5
61800,70000000,"welsh,thai",Hyderabad,Near Party Hub,22-01-2010,69.4,Tier A Celebrity,61.2,1,1,1,1,1,2,Bar,Arabian,3,0,3,3,5,6,10,9,5,NA,NA,NA,4,5,3,4,5
61801,32500000,"tibetan,italian",Hyderabad ,Near Business Hub,12-03-2011,75.6,Tier A Celebrity,84,1,1,1,0,1,2,Bar,Arabian,3,0,10,6,5,6,8,9,5,NA,NA,NA,7,8,6,3,6
61802,17000000,"turkish,nigerian",Bhopal,Near Party Hub,01-09-2008,71.4,Not Specific,68.8,1,1,1,1,1,2,Caffee,Arabian,3,0,8,3,4,5,8,9,5,NA,NA,NA,3,2,0,4,3
61803,22000000,"welsh,thai",Mysore,Near Party Hub,24-10-2011,75,Tier A Celebrity,75,0,1,1,1,1,2,Bar,Greek,3,0,8,3,4,5,6,7,3,2,NA,NA,5,6,6,5,6
61804,33000000,"tibetan,greek",chennai,Near Business Hub,15-05-2012,89.6,Not Specific,85.7,1,1,1,1,1,2,Bar,Arabian,3,1,2,4,4,3,7,7,3,NA,3,NA,8,5,1,3,7
61805,36000000,"welsh,thai",-1,Near Party Hub,19-07-2009,84,Not Specific,75.6,0,1,1,1,1,2,Bar,Parsi,2,0,7,7,6,5,10,9,4,5,NA,NA,4,4,0,3,2
61806,18000000,"british,japanese",-1,Near Party Hub,14-05-2011,71.66,Not Specific,86.8,1,1,0,1,1,2,Bar,Arabian,3,0,3,4,5,5,9,9,5,NA,NA,NA,6,8,5,3,5
61807,30000000,"indian,irish",-1,Near Party Hub,27-06-2012,88.5,Not Specific,95.2,1,1,1,1,0,2,Bar,Nature,3,1,3,4,5,5,9,10,NA,NA,NA,4,8,7,3,3,5
61808,30000000,"chinese,salvadorian",-1,Near Party Hub,22-01-2012,81,Tier A Celebrity,67.7,1,1,0,1,0,2,Bar,90's,2,0,8,5,4,7,9,9,5,NA,NA,NA,9,7,2,3,9
61809,14000000,"turkish,nigerian",New Delhi,Near Party Hub,26-05-2008,64,Tier A Celebrity,58.4,1,1,0,1,0,2,Bar,90's,3,0,4,5,5,4,5,8,3,NA,NA,NA,2,6,3,4,8
61810,40500000,"tibetan,italian",Mumbai,Near Party Hub,01-08-2010,82.8,Not Specific,73.11,1,1,0,0,1,2,Bar,Greek,3,0,8,5,4,3,6,8,NA,3,NA,NA,10,8,3,0,5
61811,14500000,"tibetan,greek",Gurgaon,Near Party Hub,16-12-2007,66,Not Specific,55,1,1,1,0,1,2,Bar,Arabian,2,1,9,4,5,4,9,10,4,NA,NA,NA,4,8,4,6,9
61812,20000000,"japanese,thai",Bangalore,Near Party Hub,26-06-2012,70.3,Not Specific,73.2,0,1,1,1,1,2,Bar,Greek,2,0,2,4,3,2,9,7,2,2,NA,NA,10,7,3,2,8
61813,32500000,"swedish,greek",Chennai,Near Party Hub,20-02-2011,88,Tier A Celebrity,72,1,1,1,1,1,2,Bar,Arabian,3,1,1,4,6,6,6,NA,NA,NA,NA,NA,5,5,6,7,4
61814,49500000,"tibetan,italian",Mumbai,Near Party Hub,19-07-2007,83,Not Specific,88,1,1,0,1,1,2,Caffee,Arabian,4,1,4,5,5,5,10,9,6,NA,NA,NA,8,7,4,2,6
61815,8500000,"welsh,thai","Technopark, Trivandrum",Near Business Hub,29-07-2007,77,Tier A Celebrity,70,0,1,1,1,1,2,Bar,Greek,2,0,8,5,4,4,8,10,3,3,NA,NA,8,5,5,0,4
61816,20500000,"indian,irish",Gurgaon,Near Party Hub,10-08-2012,54,Not Specific,62,0,1,1,1,1,2,Bar,Arabian,2,0,9,3,3,1,9,6,3,NA,1,NA,6,5,3,2,7
61817,56000000,"tibetan,italian",Bangalore,Near Party Hub,20-09-2008,92.8,Not Specific,88.66,1,1,1,1,0,2,Bar,Parsi,4,1,4,3,5,6,9,9,4,4,NA,NA,4,6,0,8,6
61818,12000000,"algerian,belgian",Madurai,Near Business Hub,15-08-2008,73,Not Specific,82.56,1,1,1,1,1,2,Bar,Greek,3,0,3,4,4,3,6,NA,3,NA,NA,NA,7,1,6,6,5
61819,15000000,"peruvian,cuban",-1,Near Party Hub,12-11-2007,64,Not Specific,49.5,1,1,0,1,1,2,Bar,Greek,1,0,6,5,5,5,8,10,NA,3,NA,NA,7,6,6,8,9
61820,24000000,"tibetan,greek",Kolkata,Near Party Hub,18-02-2009,74,Tier A Celebrity,69,1,1,1,1,1,2,Bar,Arabian,3,1,5,6,5,6,5,10,4,NA,NA,NA,7,8,5,0,4
61821,25000000,"british,japanese",Gurgaon,Near Party Hub,09-09-2009,76.8,Tier A Celebrity,65,1,1,1,0,1,2,Bar,Arabian,2,0,5,4,4,5,7,8,4,NA,NA,NA,8,5,2,1,4
61822,29500000,"turkish,nigerian",Gurgaon,Near Party Hub,30-03-2010,75.2,Not Specific,84.6,1,1,1,0,0,2,Bar,Nature,2,0,3,4,5,5,7,10,NA,NA,NA,4,5,3,2,5,5
61823,55000000,"algerian,belgian",Mumbai,Near Party Hub,12-05-2010,82,Not Specific,88.4,1,1,1,0,0,2,Bar,Greek,3,0,1,6,4,6,5,10,NA,NA,NA,NA,6,4,0,4,1
61824,11500000,"welsh,thai",hyderabad,Near Business Hub,27-07-2009,90,Not Specific,93,1,1,1,1,1,2,Bar,Arabian,4,1,1,4,5,3,7,8,4,NA,NA,NA,7,6,5,6,8
61825,60000000,"algerian,algerian",Bangalore,Near Party Hub,19-09-2009,76.33,Not Specific,86.1,1,1,1,0,0,2,Bar,Greek,3,0,9,4,4,7,10,7,3,2,NA,NA,8,8,3,1,7
61826,11000000,"indian,irish",Chennai,Near Party Hub,11-09-2010,67,Not Specific,64,1,1,1,1,1,2,Bar,90's,2,0,7,3,3,2,9,6,3,NA,2,NA,8,7,6,6,9
61827,20000000,"chinese,salvadorian",Bangalore,Near Party Hub,14-07-2010,80.1,Not Specific,78.34,1,1,1,0,1,2,Bar,Greek,3,0,7,5,5,6,6,9,NA,4,NA,NA,6,6,6,2,5
61828,41000000,"british,japanese",Hyderabad ,Near Business Hub,22-02-2010,80.83,Not Specific,92.2,1,1,0,1,1,2,Bar,Arabian,3,1,2,4,6,6,9,9,5,NA,NA,NA,8,8,2,4,6
61829,32500000,"tibetan,italian",Chennai,Near Business Hub,02-08-2012,69,Tier A Celebrity,93.6,1,1,0,1,1,2,Bar,Greek,3,0,2,4,4,5,7,10,3,3,NA,NA,9,8,8,2,7
61830,44500000,"tibetan,greek",-1,Near Party Hub,26-11-2008,89.4,Tier A Celebrity,68,1,1,1,1,1,2,Bar,Greek,2,1,9,6,5,5,5,10,3,3,NA,NA,7,7,6,3,8
61831,15500000,"british,japanese",Kochi/Cochin,Near Party Hub,21-01-2009,,Not Specific,60,1,1,1,0,1,2,Caffee,Arabian,3,0,6,3,4,3,6,6,3,NA,2,NA,5,6,7,4,7
61832,41500000,"japanese,thai",Hyderabad,Near Party Hub,21-12-2009,76.67,Not Specific,82.6,1,1,1,1,0,2,Bar,90's,2,1,4,5,5,4,7,9,5,NA,NA,NA,7,10,5,3,8
61833,33500000,"japanese,thai",Chennai,Near Party Hub,05-03-2012,77.83,Tier A Celebrity,69.6,0,1,1,1,1,2,Bar,Greek,3,1,9,6,6,5,8,10,4,NA,NA,NA,10,10,7,1,9
61834,18000000,"tibetan,italian",Hyderabad,Near Business Hub,17-03-2009,76,Not Specific,81,1,1,1,1,1,2,Bar,Umami,3,1,2,3,3,5,8,10,3,NA,NA,4,5,5,3,3,7
61835,24000000,"turkish,sapnish",Mumbai,Near Party Hub,13-07-2010,57,Not Specific,49,1,1,1,1,1,2,Bar,Arabian,2,0,9,3,3,2,5,NA,NA,NA,NA,NA,4,8,4,6,5
61836,26000000,"polish,jewish",-1,Near Party Hub,15-02-2009,57.67,Not Specific,74,0,1,1,1,1,2,Bar,Arabian,3,0,1,5,4,8,8,9,5,NA,NA,NA,7,8,5,1,7
61837,12000000,"japanese,thai",Bharuch,Near Party Hub,18-10-2006,83.14,Not Specific,58,0,1,0,1,1,2,Bar,Mise En,2,0,5,5,4,4,5,NA,2,NA,NA,NA,2,7,2,3,7
61838,4000000,"chinese,salvadorian",-1,Near Party Hub,30-05-2011,79.2,Not Specific,89.33,1,1,1,1,1,2,Bar,Chinese,3,0,4,3,4,4,9,10,3,NA,NA,NA,4,5,2,3,1
61839,19000000,"algerian,algerian",Hyderabad,Near Party Hub,28-06-2010,50,Tier A Celebrity,56,1,1,0,1,1,2,Bar,Greek,2,1,2,4,3,2,7,7,3,3,2,NA,6,6,5,4,7
61840,20500000,"turkish,sapnish",New Delhi,Near Party Hub,07-12-2005,61,Tier A Celebrity,60.3,1,0,1,1,1,2,Caffee,Arabian,3,0,7,4,4,3,7,9,4,NA,5,NA,7,7,5,3,7
61841,10500000,"welsh,thai",-1,Near Business Hub,18-03-2011,91.21,Not Specific,79.9,1,1,1,1,1,2,Bar,90's,2,1,4,5,5,5,5,8,4,NA,3,NA,6,2,5,5,2
61842,30500000,"turkish,nigerian",Bangalore,Near Business Hub,31-01-2009,78,Tier A Celebrity,66.6,0,1,1,1,1,2,Bar,Greek,2,0,2,5,3,4,9,8,NA,3,NA,NA,4,6,5,3,4
61843,18000000,"nigerian,cajun",Bangalore,Near Party Hub,26-03-2010,62,Not Specific,59,1,1,1,1,1,2,Bar,Greek,2,0,3,3,4,4,6,9,2,4,NA,NA,7,5,1,2,4
61844,28000000,"british,japanese",HYDERABAD,Near Party Hub,28-03-2010,61,Not Specific,63,0,1,1,0,1,2,Bar,Parsi,2,0,4,3,3,2,8,NA,3,NA,NA,NA,2,6,4,10,9
61845,19500000,"welsh,thai",-1,Near Business Hub,22-11-2011,89.33,Not Specific,95.5,1,1,1,1,1,1,Bar,Greek,3,0,6,5,5,6,6,9,4,5,NA,NA,8,8,6,5,9
61846,15000000,"tibetan,greek",New Delhi,Near Business Hub,18-11-2012,49,Tier A Celebrity,60,0,1,1,1,0,2,Bar,Greek,2,0,6,4,4,4,5,8,NA,3,NA,NA,6,9,5,4,9
61847,60000000,"algerian,algerian",Bangalore,Near Party Hub,07-09-2010,79,Tier A Celebrity,70,1,1,1,0,1,2,Bar,Greek,2,0,1,4,5,6,10,7,NA,3,NA,NA,4,7,4,4,6
61848,65000000,"turkish,nigerian",Hyderabad,Near Party Hub,13-07-2008,81.83,Not Specific,87.6,1,1,1,1,0,2,Bar,Greek,2,0,9,3,3,5,5,9,3,4,NA,NA,5,5,4,4,5
61849,31000000,"tibetan,greek",Chennai,Near Business Hub,11-07-2010,65,Tier A Celebrity,57.8,0,1,1,0,1,2,Bar,Arabian,2,0,4,4,4,3,9,7,4,NA,3,NA,8,7,4,1,7
61850,32500000,"tibetan,italian",Chennai,Near Party Hub,25-04-2010,86.6,Tier A Celebrity,73.2,1,1,1,1,1,2,Bar,90's,3,0,6,6,5,6,5,9,4,NA,4,NA,3,5,5,5,7
61851,40000000,"tibetan,italian",Hyderabad,Near Party Hub,02-06-2008,77,Not Specific,83.7,1,1,0,1,1,2,Bar,Arabian,2,1,3,4,4,4,7,10,4,NA,NA,NA,2,9,7,3,9
61852,43500000,"tibetan,greek",New Delhi,Near Business Hub,17-10-2007,80.6,Tier A Celebrity,79.6,1,1,0,1,1,2,Bar,Greek,3,0,9,4,4,6,6,7,NA,3,NA,NA,8,8,5,5,8
61853,52500000,"polish,jewish",-1,Near Party Hub,10-07-2010,78.16,Not Specific,73.2,1,1,1,1,1,2,Bar,Arabian,3,0,4,3,5,6,7,9,5,NA,4,NA,7,6,5,1,6
61854,24000000,"indian,irish",-1,Near Business Hub,14-03-2011,64,Not Specific,69.2,1,1,1,1,1,2,Bar,90's,3,0,6,4,4,4,6,9,5,NA,NA,NA,7,5,5,2,5
61855,36000000,"welsh,thai",-1,Near Business Hub,17-04-2010,82,Not Specific,66,1,1,1,0,1,2,Bar,Arabian,2,0,5,6,5,4,9,9,5,NA,NA,NA,8,9,5,2,7
61856,34000000,"japanese,thai",-1,Near Party Hub,22-07-2010,87.6,Tier A Celebrity,92.5,1,1,1,0,1,2,Bar,Arabian,4,1,5,7,5,8,7,9,5,NA,NA,NA,3,7,4,2,6
61857,33000000,"tibetan,greek",Pune,Near Party Hub,02-12-2013,69,Not Specific,66.15,1,1,0,0,1,2,Bar,Greek,3,0,2,4,4,6,6,10,NA,3,NA,NA,9,6,5,2,4
61858,21500000,"tibetan,greek",Bangalore,Near Business Hub,29-08-2009,80,Tier A Celebrity,77,1,1,1,0,1,2,Bar,Greek,3,0,1,5,4,4,8,8,NA,NA,NA,NA,8,8,5,0,9
61859,33000000,"algerian,belgian",-1,Near Party Hub,01-08-2011,62,Not Specific,62,1,1,0,1,1,2,Bar,Molino,3,0,3,3,4,5,6,7,NA,NA,NA,NA,4,3,4,5,6
61860,10000000,"tibetan,greek",Chennai,Near Party Hub,05-04-2012,88.66,Not Specific,94.1,1,1,0,1,1,2,Bar,Greek,4,0,2,5,6,7,6,NA,4,NA,4,NA,8,7,3,0,4
61861,24000000,"algerian,korean",Hyderabad,Near Party Hub,29-08-2009,75,Not Specific,77,1,1,1,1,1,2,Bar,90's,1,0,8,7,4,3,9,7,3,NA,NA,NA,2,0,0,4,0
61862,40000000,"tibetan,greek",Gurgaon,Near Party Hub,29-05-2011,89.2,Tier A Celebrity,87.25,1,1,0,1,1,1,Bar,Arabian,3,1,10,5,5,7,7,NA,NA,NA,NA,NA,6,7,6,4,7
61863,15000000,"tibetan,italian",New Delhi,Near Party Hub,27-03-2009,80,Tier A Celebrity,59,0,1,1,1,0,2,Bar,Greek,2,0,2,4,4,4,5,8,3,3,NA,NA,3,6,3,4,4
61864,20000000,"turkish,sapnish",Bangalore,Near Business Hub,14-12-2003,64,Not Specific,68,1,1,1,1,1,2,Bar,Greek,2,0,5,4,5,6,10,8,4,3,NA,NA,9,7,5,0,4
61865,20500000,"turkish,nigerian",Gurgaon,Near Party Hub,07-09-2011,78,Tier A Celebrity,68,1,1,0,1,0,2,Bar,Arabian,2,0,5,6,4,2,5,9,3,NA,4,NA,6,7,5,4,6
61866,32000000,"chinese,salvadorian",New Delhi,Near Party Hub,19-08-2009,64,Tier A Celebrity,62.8,1,1,1,1,0,2,Bar,Greek,3,0,5,5,4,3,9,NA,NA,NA,NA,NA,8,5,6,6,5
61867,15000000,"indian,irish",Ahmedabad,Near Party Hub,27-04-2004,80.14,Not Specific,69.53,1,1,0,1,0,2,Bar,Arabian,2,0,1,6,5,3,8,8,3,NA,NA,NA,8,9,6,1,6
61868,20000000,"turkish,sapnish",Noida,Near Party Hub,07-11-2011,72,Tier A Celebrity,70,1,1,1,1,1,2,Bar,Greek,2,0,4,3,4,5,9,10,NA,3,NA,NA,3,5,5,1,7
61869,30000000,"japanese,thai",Pune,Near Business Hub,12-09-2010,93.3,Not Specific,84,1,1,1,1,1,2,Bar,Arabian,3,0,3,4,3,4,10,9,6,NA,NA,NA,8,8,5,5,9
61870,28000000,"british,japanese",Pune,Near Party Hub,30-11-2006,61.63,Not Specific,53.17,1,1,1,1,1,2,Bar,Arabian,2,1,2,4,4,2,5,8,3,NA,NA,NA,5,7,3,2,7
61871,18000000,"tibetan,greek",Nagpur,Near Party Hub,12-11-2006,73.73,Not Specific,72.5,1,0,1,1,1,2,Caffee,Arabian,2,0,6,5,6,4,6,9,5,NA,NA,NA,2,6,3,1,4
61872,25000000,"tibetan,greek",New Delhi,Near Party Hub,23-02-2011,59,Not Specific,72,1,1,1,0,1,2,Bar,Arabian,3,0,7,4,3,3,7,6,3,NA,NA,NA,2,7,2,6,2
61873,49500000,"turkish,sapnish",Coimbatore,Near Party Hub,26-03-2010,94.4,Local Celebrity,94.16,1,1,1,0,1,2,Bar,Nature,4,0,7,4,5,5,7,9,NA,NA,NA,6,6,7,4,3,7
61874,32500000,"tibetan,greek",pune,Near Business Hub,20-11-2010,80.46,Not Specific,79.19,1,1,1,1,1,2,Bar,90's,2,1,6,3,7,3,8,9,4,NA,5,NA,9,8,5,1,8
61875,44500000,"tibetan,italian",Bangalore,Near Party Hub,04-08-2009,76.48,Not Specific,77.16,1,1,1,1,1,2,Bar,Greek,3,0,3,4,4,2,8,10,3,3,NA,NA,1,0,0,4,0
61876,22500000,"nigerian,cajun",Kolkata,Near Party Hub,19-12-2010,82.25,Not Specific,83.6,1,1,1,1,1,2,Bar,Greek,4,1,8,4,6,6,9,8,NA,3,NA,NA,9,9,5,0,9
61877,36500000,"hawaiian,latvian",Gurgaon,Near Party Hub,29-05-2010,91.4,Tier A Celebrity,83.8,1,1,1,0,1,2,Bar,Greek,3,0,6,4,5,8,10,8,NA,3,NA,NA,2,6,6,4,4
61878,29000000,"tibetan,greek",Bangalore,Near Party Hub,29-09-2010,87.2,Not Specific,91.3,1,1,1,1,1,2,Bar,Greek,4,0,5,3,4,3,7,7,3,2,NA,NA,6,5,3,4,3
61879,37500000,"algerian,korean",Tornagallu,Near Party Hub,27-02-2009,88.5,Tier A Celebrity,82.8,0,1,0,1,0,1,Bar,Bettaso,3,0,6,7,6,6,5,NA,3,NA,NA,NA,10,9,5,0,6
61880,37500000,"swedish,greek",Chandigarh,Near Party Hub,14-03-2011,84.6,Tier A Celebrity,70.4,1,1,1,1,1,2,Bar,Molino,3,0,10,5,6,5,7,8,NA,NA,NA,NA,10,10,6,2,9
61881,20000000,"welsh,thai",-1,Near Party Hub,09-09-2008,56.16,Not Specific,54.08,0,1,0,1,1,2,Bar,Greek,2,0,1,4,4,3,8,10,3,3,NA,NA,8,7,5,5,6
61882,50000000,"tibetan,italian",Gurgaon,Near Party Hub,02-10-2009,87,Tier A Celebrity,82,1,1,1,1,1,1,Bar,Greek,3,1,4,5,6,7,8,9,4,5,NA,NA,7,6,3,0,5
61883,72000000,"algerian,korean",Jabalpur,Near Party Hub,24-02-2011,82,Tier A Celebrity,69,1,1,0,1,1,,Bar,90's,2,0,1,5,5,6,6,9,5,NA,NA,NA,3,10,1,8,9
61884,10000000,"polish,jewish",Noida,Near Party Hub,30-12-2003,57.88,Not Specific,52,1,1,0,1,1,2,Caffee,Arabian,2,0,1,3,4,3,7,8,3,NA,NA,NA,6,2,6,2,3
61885,21000000,"algerian,belgian",Raipur,Near Party Hub,05-02-2012,80.4,Not Specific,60.2,0,1,0,0,1,2,Bar,Greek,4,0,4,3,3,5,10,10,6,3,3,NA,10,7,5,4,9
61886,11000000,"irish,belgian",Chandigarh,Near Party Hub,13-02-2011,71.2,Not Specific,52.2,1,1,1,1,1,2,Caffee,Arabian,3,0,6,5,4,3,10,7,3,NA,NA,NA,5,7,4,3,7
61887,10500000,"turkish,sapnish",Bangalore,Near Party Hub,08-08-2007,56,Not Specific,76,1,1,1,1,0,2,Bar,Greek,1,0,7,3,4,4,8,10,NA,3,NA,NA,3,7,5,4,6
61888,12000000,"algerian,korean",Bhopal,Near Party Hub,09-06-2010,73.8,Not Specific,70,1,1,1,1,1,2,Bar,Arabian,3,0,7,3,3,3,7,7,3,NA,NA,NA,8,7,8,2,8
61889,60000000,"welsh,thai",Bangalore,Near Party Hub,30-10-2010,92.5,Not Specific,83.5,1,1,0,1,1,2,Bar,Greek,3,1,2,7,6,6,6,7,5,NA,NA,NA,6,5,3,6,5
61890,30000000,"tibetan,italian",pune,Near Business Hub,30-12-2010,78,Tier A Celebrity,73,1,1,0,0,1,,Bar,90's,3,0,7,4,4,3,10,10,3,NA,4,NA,6,9,4,3,7
61891,47000000,"tibetan,greek",Kolkata ,Near Party Hub,04-10-2010,70.4,Tier A Celebrity,69.2,1,1,1,1,1,2,Bar,90's,3,0,3,5,6,7,9,9,5,NA,NA,NA,4,5,2,2,4
61892,30500000,"chinese,salvadorian",Bhubaneswar,Near Business Hub,26-05-2012,90,Not Specific,74,1,1,1,0,1,2,Bar,Greek,3,0,4,5,5,4,6,10,4,3,NA,NA,7,9,4,1,6
61893,10000000,"welsh,thai",Pune,Near Party Hub,25-12-2010,68,Tier A Celebrity,68,1,1,1,1,0,2,Bar,Greek,4,0,5,4,3,4,9,7,NA,2,NA,NA,9,7,7,7,9
61894,14500000,"irish,belgian",Pune,Near Party Hub,23-11-2011,87.07,Not Specific,71.5,1,1,1,0,1,2,Bar,90's,3,0,4,4,3,2,10,10,3,NA,4,NA,9,5,5,0,8
61895,35000000,"tibetan,greek",Bangalore,Near Business Hub,12-05-2008,92,Local Celebrity,87,1,1,1,1,1,2,Bar,Arabian,3,0,10,5,4,5,8,10,4,NA,NA,NA,8,8,3,1,8
